Global ID,Barcode,Name,Status,Unit,Number of units,Units per pack,Category,Price,Price with markup,Price with commission,Price base,Markup,Commission,Location in store,Location priority,Preparation time,Tax code,Freetext notes,Item taxes,Filters,Description,Allergen Information,Ingredients,Nutritional Data,Dietary Information,Station,Modifiers,Private,Tags
nan,nan,Chicken Milano,,,,,Hot Sandwiches,7.57,7.57,7.57,7.57,,,Hot Sandwiches,-1,,General,,,[],"Homemade chicken salad, mozzarella, cheddar, roasted reds, fresh basil on Tandoori naan bread.",,,,,,"[{""_id"": ""5718edd2304fea99b3c14300"", ""title"": ""Make it a combo"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""5718edd2304fea99b3c14301"", ""title"": ""Chips"", ""price"": 249, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 2}, {""_id"": ""5718edd2304fea99b3c14302"", ""title"": ""Drink"", ""price"": 0, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 2}], ""price_increase_applicable"": false, ""max_selected_values"": 2, ""max_qty_sum"": null, ""default_value"": {""_id"": ""5718edd2304fea99b3c14301""}, ""preselect_default_value"": false}]",no,
nan,nan,Buffalo Wrap,,,,,Wraps,7.46,7.46,7.46,7.46,,,Wraps,-1,,General,,,[],"Fresh chicken, cheddar, tomato, romaine lettuce, buffalo sauce, blue cheese dressing.",,,,,,[],no,
nan,nan,Tuscon Wrap,,,,,Wraps,7.46,7.46,7.46,7.46,,,Wraps,-1,,General,,,[],"Fresh chicken, hickory smoked bacon, cheddar, romaine lettuce, tomato, toasted almonds, creamy ranch dressing.",,,,,,[],no,
nan,nan,"Turkey, Bacon, Avocado Wrap",,,,,Wraps,8.1,8.1,8.1,8.1,,,Wraps,-1,,General,,,[],"On a whole wheat tortilla. Turkey, hickory smoked bacon, fresh avocado, romaine lettuce, tomato, basil pesto aioli.",,,,,,[],no,
nan,nan,Chicken Salad Wrap,,,,,Wraps,7.13,7.13,7.13,7.13,,,Wraps,-1,,General,,,[],"Homemade chicken salad, tomato, romaine lettuce.",,,,,,[],no,
nan,nan,Chicken Melt on French Roll,,,,,Signature Sandwiches,8.45,8.45,8.45,8.45,,,Signature Sandwiches,-1,,General,,,[],"Homemade chicken salad, melted cheddar cheese, tomato, hickory smoked bacon, romaine lettuce",,,,,,[],no,
nan,nan,BBLT on Honey Wheat Bread,,,,,Signature Sandwiches,7.68,7.68,7.68,7.68,,,Signature Sandwiches,-1,,General,,,[],"Six slices of hickory smoked bacon, romaine lettuce, tomato, mayo ",,,,,,[],no,
nan,nan,Original Veggie on French Roll,,,,,Signature Sandwiches,7.46,7.46,7.46,7.46,,,Signature Sandwiches,-1,,General,,,[],"Fresh avocado, romaine lettuce, tomato, cucumber, roasted reds, provolone cheese, mayo",,,,,,[],no,
nan,nan,Chicken Milano,,,,,Signature Sandwiches,7.57,7.57,7.57,7.57,,,Signature Sandwiches,-1,,General,,,[],"Homemade chicken salad, mozzerlla cheese, cheddar cheese, roasted reds, fresh basil on tandoori naan",,,,,,[],no,
nan,nan,Chicken Salad & Apples on Multi-Grain Roll,,,,,Signature Sandwiches,7.57,7.57,7.57,7.57,,,Signature Sandwiches,-1,,General,,,[],"Homemade chicken salad, blue cheese dressing, hickory smoked bacon, & granny smith apples",,,,,,[],no,
nan,nan,Cadillac Chicken on Multi- Grain Roll,,,,,Signature Sandwiches,7.46,7.46,7.46,7.46,,,Signature Sandwiches,-1,,General,,,[],"Fresh chicken breast, provolone cheese, hickory smoked bacon, romaine lettuce, tomato & honey mustard",,,,,,[],no,
nan,nan,Pimento Cheese & Apples on Multi-Grain Roll,,,,,Signature Sandwiches,7.24,7.24,7.24,7.24,,,Signature Sandwiches,-1,,General,,,[],"Homemade pimento cheese, granny smith apples & hickory smoked bacon",,,,,,[],no,
nan,nan,Turkey Cheezer,,,,,Gourmet Sandwiches,7.24,7.24,7.24,7.24,,,Gourmet Sandwiches,-1,,General,,,[],"On a French roll. Oven-roasted turkey, provolone, romaine lettuce, tomato, mayo.",,,,,,[],no,
nan,nan,Chicken Salad on Croissant,,,,,Gourmet Sandwiches,7.13,7.13,7.13,7.13,,,Gourmet Sandwiches,-1,,General,,,[],"Homemade chicken salad, romaine lettuce, tomato",,,,,,[],no,
nan,nan,Chips,,,,,Sides,1.37,1.37,1.37,1.37,,,Sides,-1,,General,,,[],nan,,,,,,[],no,
nan,nan,20oz Coca-Cola Product,,,,,Sides,2.18,2.18,2.18,2.18,,,Sides,-1,,General,,,[],nan,,,,,,[],no,
nan,nan,Dasani Water,,,,,Sides,2.18,2.18,2.18,2.18,,,Sides,-1,,General,,,[],nan,,,,,,[],no,
nan,nan,Minute Maid Beverage,,,,,Sides,2.18,2.18,2.18,2.18,,,Sides,-1,,General,,,[],nan,,,,,,[],no,
