                                                                                     Name                                                                                                                                                                                                                                                                                  Barcode
0                                               Featured Medium Roast - Pike Place® Roast                                                                                                                                                                                                          000000001&000000002&000000003&000121965&000000001&000000002&000000003&000121965
1                                                                            Steamed Milk                                                                                                                                              000000005&000000051&011051927&011051928&011051929&011051930&011051931&000000005&000000051&011051927&011051928&011051929&011051930&011051931
2                                                                        Cold Apple Juice                                                                                                                                                                                                                                                  000000006&000000066&000000006&000000066
3                                                                           Hot Chocolate                                                                                                                                                                                      000000007&000128640&000128641&000128642&000128643&000000007&000128640&000128641&000128642&000128643
4                                                                                    Milk                                                                                                                                                                                                                              000000017&000000018&000121973&000000017&000000018&000121973
5                                                                                Espresso                                                                                                                                                                                                          000000020&000000021&000121982&000121983&000000020&000000021&000121982&000121983
6                                                                      Espresso Macchiato                                                                                                                                                                                                          000000025&000000026&000121984&000121985&000000025&000000026&000121984&000121985
7                                                                      Espresso Con Panna                                                                                                                                                                                                          000000030&000000031&000121986&000121987&000000030&000000031&000121986&000121987
8                                                                              Cappuccino  000000037&000000038&000000039&000121971&011004407&011004408&011004409&011016386&011022286&011022287&011022288&011022289&011046075&011046076&000000037&000000038&000000039&000121971&011004407&011004408&011004409&011016386&011022286&011022287&011022288&011022289&011046075&011046076
9                                                                             Caffè Latte                                                                                                                                                                                                          000000040&000000041&000000042&000121966&000000040&000000041&000000042&000121966
10                                                                 Custom Iced Tea Refill                                                                                                                                                                                                          000000043&011002162&011002163&011002164&000000043&011002162&011002163&011002164
11                                                                            Caffè Mocha                                                                                                                                                                                                          000000045&000000046&000000047&000121967&000000045&000000046&000000047&000121967
12                                                                           Regular Milk                                                                                                                                                                                                                                                                      000000052&000000052
13                                                                          Espresso Shot                                                                                                                                                                                                                                                                      000000055&000000055
14                                                                           Custom Syrup                                                                                                                                                                                                                                                                      000000057&000000057
15                                                                            Apple Juice                                                                                                                          000000067&000000068&000144651&011069521&011069522&011069523&011069524&011069525&000000067&000000068&000144651&011069521&011069522&011069523&011069524&011069525
16                                                                      Hot Coffee Refill                                                                                                                                                                                                          000000076&000121617&000121618&000139877&000000076&000121617&000121618&000139877
17                                                                            Caffè Misto                                                                                                                                                                                                          000000090&000000091&000000092&000121968&000000090&000000091&000000092&000121968
18                                                                        Caffè Americano                                                                                                                                                                                                          000000093&000000094&000000095&000121969&000000093&000000094&000000095&000121969
19                                                                             Cup of Ice                                                                                                                                                                                                                                                                      000000992&000000992
20                                                                            Iced Coffee                                                                                                                                                                                                          000106509&000106510&000144646&011006148&000106509&000106510&000144646&011006148
21                                             Large Format Custom Brewed Coffee 1 gallon                                                                                                                                                                                                                                                                      000107488&000107488
22                                          Large Format Custom Brewed Coffee 2.5 gallons                                                                                                                                                                                                                                                                      000107489&000107489
23                                            Large Format Custom Brewed Coffee 5 gallons                                                                                                                                                                                                                                                                      000107504&000107504
24                                                                           Eggnog Latte                                                                                                                                                                                                          000108516&000108517&000108518&000128648&000108516&000108517&000108518&000128648
25                                                                                  Decaf                                                                                                                                                                                                                                                                      000109836&000109836
26                                                                              1/2 Decaf                                                                                                                                                                                                                                                                      000109837&000109837
27                                                                              Ristretto                                                                                                                                                                                                                                                                      000109839&000109839
28                                                                            Nonfat Milk                                                                                                                                                                                                                                                                      000109840&000109840
29                                                                                2% Milk                                                                                                                                                                                                                                                                      000109841&000109841
30                                                                    Breve (Half & Half)                                                                                                                                                                                                                                                                      000109842&000109842
31                                                                           For Here Cup                                                                                                                                                                                                                                                                      000109844&000109844
32                                                                                 Ask Me                                                                                                                                                                                                                                                                      000109845&000109845
33                                                                             Double Cup                                                                                                                                                                                                                                                                      000109883&000109883
34                                                                                   Warm                                                                                                                                                                                                                                                                      000109888&000109888
35                                                                                    Hot                                                                                                                                                                                                                                                                      000109889&000109889
36                                                                        Regular Steamed                                                                                                                                                                                                                                                                      000109890&000109890
37                                                                  Regular Whipped Cream                                                                                                                                                                                                                                                                      000109891&000109891
38                                                                          Whipped Cream                                                                                                                                                                                                                              000109892&000109893&000110089&000109892&000109893&000110089
39                                                                                  Sugar                                                                                                                                                                                                                                                                      000109894&000109894
40                                                                       Saccharin (pink)                                                                                                                                                                                                                                                                      000109895&000109895
41                                                                          Equal® (blue)                                                                                                                                                                                                                                                                      000109896&000109896
42                                                                            Regular Ice                                                                                                                                                                                                                                                                      000109897&000109897
43                                                                                    Ice                                                                                                                                                                                                                              000109898&000109899&000110246&000109898&000109899&000110246
44                                                                                   Foam                                                                                                                                                                                                          000109900&000109901&000109902&000110090&000109900&000109901&000109902&000110090
45                                                                                    Wet                                                                                                                                                                                                                                                  000109903&000546389&000109903&000546389
46                                                                                    Dry                                                                                                                                                                                                                                                  000109904&011052611&000109904&011052611
47                                                                          Vanilla Syrup                                                                                                                                                                                      000109906&000109913&000109917&000187669&000523887&000109906&000109913&000109917&000187669&000523887
48                                                                         Hazelnut Syrup                                                                                                                                                                                      000109910&000109915&000109918&000180596&000523889&000109910&000109915&000109918&000180596&000523889
49                                                                            Mocha Sauce                                                                                                                                                                                      000109912&000109916&000109920&000184297&011052321&000109912&000109916&000109920&000184297&011052321
50                                                                           Cup Of Water                                                                                                                                                                                      000110014&000546466&000546467&011015038&011045628&000110014&000546466&000546467&011015038&011045628
51                                                                      Sugar in the Raw®                                                                                                                                                                                                                                                                      000110016&000110016
52                                                                        Espresso (Fine)                                                                                                                                                                                                                                                                      000110018&000110018
53                                                                Cone Filter (Semi-Fine)                                                                                                                                                                                                                                                                      000110019&000110019
54                                                                  Turkish Grind ( Fine)                                                                                                                                                                                                                                                                      000110021&000110021
55                                                                     Flat Bottom (Drip)                                                                                                                                                                                                                                                                      000110024&000110024
56                                                                  French Press (Coarse)                                                                                                                                                                                                                                                                      000110025&000110025
57                                                                              1/3 Decaf                                                                                                                                                                                                                                                                      000110026&000110026
58                                                                              2/3 Decaf                                                                                                                                                                                                                                                                      000110027&000110027
59                                                                             Whole Milk                                                                                                                                                                                                                                                                      000110086&000110086
60                                                                                   Room                                                                                                                                                                                                          000110237&000110240&000110241&000183455&000110237&000110240&000110241&000183455
61                                                                                    Cup                                                                                                                                                                                                          000110243&000110244&000110245&000147013&000110243&000110244&000110245&000147013
62                                                                   Iced Caffè Americano                                                                                                                                                                                                                              000110563&000110564&000144650&000110563&000110564&000144650
63                                                                       Iced Caffè Mocha                                                                                                                                                                                                                              000110566&000110567&000144649&000110566&000110567&000144649
64                                                                       Iced Caffè Latte                                                                                                                                                                                                                              000110569&000110570&000144648&000110569&000110570&000144648
65                                                                                1% Milk                                                                                                                                                                                                                                                                      000110612&000110612
66                                                French Press Brewed Custom Coffee 8 Cup                                                                                                                                                                                                                                                                      000111774&000111774
67                                               French Press Brewed Custom Coffee 12 Cup                                                                                                                                                                                                                                                                      000111775&000111775
68                                                                  Creamer (Half & Half)                                                                                                                                                                                                                              000111806&000182529&000182530&000111806&000182529&000182530
69                                                                Regular Cinnamon Powder                                                                                                                                                                                                                                                                      000112073&000112073
70                                                                         Vanilla Powder                                                                                                                                                                                      000112074&000523881&000523882&000551445&011052594&000112074&000523881&000523882&000551445&011052594
71                                                                       Chocolate Powder                                                                                                                                                                                      000112075&000551443&011052404&011052405&011052406&000112075&000551443&011052404&011052405&011052406
72                                                                          Nutmeg Powder                                                                                                                                                                                      000112076&000523885&000523886&000551444&011052403&000112076&000523885&000523886&000551444&011052403
73                                                                                Soymilk                                                                                                                                                                                                                                                                      000113135&000113135
