Sheet Name,Product Name,SKU,Size,Calories,Product Category,Product Type
A_US Core Beverage Nutrition,Caramel Apple Spice,155434,Kids,220,Apple Juice,CORE
A_US Core Beverage Nutrition,Caramel Apple Spice,155357,Short,220,Apple Juice,CORE
A_US Core Beverage Nutrition,Caramel Apple Spice,155358,Tall,310,Apple Juice,CORE
A_US Core Beverage Nutrition,Caramel Apple Spice,155359,Grande,380,Apple Juice,CORE
A_US Core Beverage Nutrition,Caramel Apple Spice,155360,Venti®,460,Apple Juice,CORE
E_US Fall LTO Beverage Nutrition,Apple Crisp Creme Frappuccno,11130850,Tall,280,Blended,NATIONAL LTO
E_US Fall LTO Beverage Nutrition,Apple Crisp Creme Frappuccno,11130851,Grande,400,Blended,NATIONAL LTO
E_US Fall LTO Beverage Nutrition,Apple Crisp Creme Frappuccno,11130852,Venti,470,Blended,NATIONAL LTO
E_US Fall LTO Beverage Nutrition,Apple Crisp Frappuccino,11130847,Tall,320,Blended,NATIONAL LTO
E_US Fall LTO Beverage Nutrition,Apple Crisp Frappuccino,11130848,Grande,460,Blended,NATIONAL LTO
E_US Fall LTO Beverage Nutrition,Apple Crisp Frappuccino,11130849,Venti,550,Blended,NATIONAL LTO
A_US Core Beverage Nutrition,Caramel Frappuccino® Blended Beverage,11002655,Tall,260,Blended,CORE
A_US Core Beverage Nutrition,Caramel Frappuccino® Blended Beverage,11002656,Grande,380,Blended,CORE
A_US Core Beverage Nutrition,Caramel Frappuccino® Blended Beverage,11002657,Venti®,470,Blended,CORE
A_US Core Beverage Nutrition,Caramel Ribbon Crunch Frappuccino® Blended Beverage,11029017,Tall,330,Blended,CORE
A_US Core Beverage Nutrition,Caramel Ribbon Crunch Frappuccino® Blended Beverage,11029018,Grande,470,Blended,CORE
A_US Core Beverage Nutrition,Caramel Ribbon Crunch Frappuccino® Blended Beverage,11029019,Venti®,570,Blended,CORE
A_US Core Beverage Nutrition,Coffee Frappuccino® Blended Beverage,11002659,Tall,160,Blended,CORE
A_US Core Beverage Nutrition,Coffee Frappuccino® Blended Beverage,11002660,Grande,230,Blended,CORE
A_US Core Beverage Nutrition,Coffee Frappuccino® Blended Beverage,11002661,Venti®,310,Blended,CORE
A_US Core Beverage Nutrition,Double Chocolaty Chip Crème Frappuccino® Blended Beverage,11002677,Tall,290,Blended,CORE
A_US Core Beverage Nutrition,Double Chocolaty Chip Crème Frappuccino® Blended Beverage,11002678,Grande,410,Blended,CORE
A_US Core Beverage Nutrition,Double Chocolaty Chip Crème Frappuccino® Blended Beverage,11002679,Venti®,510,Blended,CORE
A_US Core Beverage Nutrition,Java Chip Frappuccino® Blended Beverage,182043,Tall,320,Blended,CORE
A_US Core Beverage Nutrition,Java Chip Frappuccino® Blended Beverage,182044,Grande,440,Blended,CORE
A_US Core Beverage Nutrition,Java Chip Frappuccino® Blended Beverage,182045,Venti®,560,Blended,CORE
A_US Core Beverage Nutrition,Matcha Green Tea Frappuccino® Blended Crème,011090004,Tall,300,Blended,CORE
A_US Core Beverage Nutrition,Matcha Green Tea Frappuccino® Blended Crème,11002680,Tall,300,Blended,CORE
A_US Core Beverage Nutrition,Matcha Green Tea Frappuccino® Blended Crème,011090013,Grande,420,Blended,CORE
A_US Core Beverage Nutrition,Matcha Green Tea Frappuccino® Blended Crème,011090017,Venti®,520,Blended,CORE
A_US Core Beverage Nutrition,Mocha Cookie Crumble Frappuccino® Blended Beverage,11020122,Tall,350,Blended,CORE
A_US Core Beverage Nutrition,Mocha Cookie Crumble Frappuccino® Blended Beverage,11020123,Grande,480,Blended,CORE
A_US Core Beverage Nutrition,Mocha Cookie Crumble Frappuccino® Blended Beverage,11020124,Venti®,590,Blended,CORE
A_US Core Beverage Nutrition,Mocha Frappuccino® Blended Beverage,11002668,Tall,250,Blended,CORE
A_US Core Beverage Nutrition,Mocha Frappuccino® Blended Beverage,11002669,Grande,370,Blended,CORE
A_US Core Beverage Nutrition,Mocha Frappuccino® Blended Beverage,11002670,Venti®,470,Blended,CORE
E_US Fall LTO Beverage Nutrition,Pumpkin Spice Frappuccino® Blended Beverage,11005210,Tall,290,Blended,NATIONAL LTO
E_US Fall LTO Beverage Nutrition,Pumpkin Spice Frappuccino® Blended Beverage,11005211,Grande,420,Blended,NATIONAL LTO
E_US Fall LTO Beverage Nutrition,Pumpkin Spice Frappuccino® Blended Beverage,11005212,Venti®,510,Blended,NATIONAL LTO
A_US Core Beverage Nutrition,Strawberry Frappuccino® Blended Beverage,11090844,Tall,250,Blended,CORE
A_US Core Beverage Nutrition,Strawberry Frappuccino® Blended Beverage,11090845,Grande,370,Blended,CORE
A_US Core Beverage Nutrition,Strawberry Frappuccino® Blended Beverage,11090846,Venti®,460,Blended,CORE
A_US Core Beverage Nutrition,Vanilla Bean Crème Frappuccino® Blended Beverage,11002689,Tall,260,Blended,CORE
