Name,Global ID
"2% Milk", SBMOD0001sbuxmods_inventory0009
"8-Grain Roll", SB0437
"Add Ice", SBMOD0044
"Almond Croissant", SB0001
"Almond Milk", SBMOD0006
"Almondmilk", sbuxmods_inventory0012
"Almondmilk Honey Flat White", SB0422
"Almondmilk Honey Flat White with Starbucks® Blonde Espresso", SB0418
"Americanos", sbuxtemplate0001
"Americanos/Brewed Coffee", sbuxtemplate0036
"Apple Blend", SBMOD0073
"Apple Juice", sbuxmods_inventory0080
"Autumn Sugar Topping", SBMOD0063
"Avocado Spread", sbuxmods_inventory0086
"Avocado spread", SBMOD0080
"Babybel® Mini Cheese Snack", SB0004
"Bacon & Gruyère Sous Vide Egg Bites", SB0221
"Bacon, SB0005SB0564
"Bagels", sbuxtemplate0033
"Bakery Item", sbuxtemplate0034
"Banana", SB0444
"Banana Nut Bread", SB0007
"Barrel Aged Flavored Chocolate Caramels", SB0008
"Berry Trio Parfait", SB0010
"Birthday Cake Pop", SB0011
"Black Tea", sbuxmods_inventory0081
"Black Tea (splash)", SBMOD0064
"Black Teas", sbuxtemplate0010
"Black Teas/Green Teas/Herbal Teas", sbuxtemplate0039
"Blackberries", SBMOD0068sbuxmods_inventory0029
"Blended Strawberry Lemonade", SB0323
"Blonde", SBMOD0036sbuxmods_inventory0039
"Blonde Roast", SB0013
"Blonde Skinny Caffè Latte", SB0251
"Blonde Skinny Caramel Macchiato", SB0271
"Blonde Skinny Cinnamon Dolce Latte", SB0247
"Blueberry & Oatmeal Jammy Sammy", SB0479
"Blueberry Bagel", SB0455
"Blueberry Muffin", SB0014
"Blueberry Oat Cake", SB0487
"Blueberry Scone", SB0015
"Brazil Isidro Pereira Estate Chemex Starbucks Reserve®", SB0494
 Isidro Pereira Estate has produced stunning coffee for three generations. This washed offering, Nestled in the fertileNestled in the fertileNestled in the fertileNestled in the fertileNestled in the fertileNestled in the fertileNestled in the fertile
"Brazil Isidro Pereira Estate Clover X Starbucks Reserve®", SB0497
"Brazil Isidro Pereira Estate Coffee Press Starbucks Reserve®", SB0495
"Brazil Isidro Pereira Estate Iced Pour-Over Starbucks Reserve®", SB0493
"Brazil Isidro Pereira Estate Pour-Over Starbucks Reserve®", SB0498
"Brazil Isidro Pereira Estate Siphon Starbucks Reserve®", SB0496
"Brazil Sertaozinho Clover®", SB0375
"Brewed Coffee", sbuxtemplate0002
"Brown Sugar Syrup", sbuxmods_inventory0088
"Butter", SBMOD0078sbuxmods_inventory0084
"Butter Croissant", SB0017
"Butter Gourmet Popcorn", SB0018
"Caffè Americano", SB0002
"Caffè Latte", SB0020
"Caffè Misto", SB0019
"Caffè Mocha", SB0021
"Caffè Vanilla Frappuccino® Blended Beverage", SB0321
"Caffé Verona® Clover®", SB0334
"Cappuccino", SB0024sbuxtemplate0003
"Caramel Apple Spice", SB0025
"Caramel Brulee Topping", SBMOD0054
"Caramel Brulée Crème", SB0505
"Caramel Brulée Crème Frappuccino® Blended Beverage", SB0506
"Caramel Brulée Frappuccino® Blended Beverage", SB0026
"Caramel Brulée Latte", SB0027
"Menu limited. Restricted delivery area. Fees subject to change. Please visit the Starbucks website for nutritional information. Pike Place® is a registered trademark of The Pike Place® market PDA, 
"Caramel Cloud Macchiato* (Contains eggs)", SB0411
"Caramel Crunch Topping", sbuxmods_inventory0047
"Caramel Drizzle", SBMOD0024sbuxmods_inventory0040
"Caramel Frappuccino® Blended Beverage", SB0028
"Caramel Macchiato", SB0029
"Caramel Ribbon Crunch Crème Frappuccino® Blended Beverage", SB0362
"Caramel Ribbon Crunch Frappuccino® Blended Beverage", SB0030SB0031
"Caramel Sauce", SBMOD0021sbuxmods_inventory0056
"Caramel Syrup", SBMOD0011sbuxmods_inventory0059
"Caramelized Apple Pound Cake", SB0461
"Carved Ham & Swiss Breakfast Sandwich", SB0032
"Cascara Cold Foam", sbuxmods_inventory0051
"Cascara Topping", SBMOD0055sbuxmods_inventory0043
"Chai Crème Frappuccino® Blended Beverage", SB0033
"Chai Eggnog Latte", SB0034
"Chai Powder", sbuxmods_inventory0073
"Chai Syrup", sbuxmods_inventory0070
"Chai Tea", SB0409
"Chai Tea Latte", SB0035
"Chai Teas", sbuxtemplate0009
"Cheese & Fruit Protein Box", SB0036SB0022
"Cheese Danish", SB0037
"Cheese, SB0438
"Chestnut Praline Crème", SB0508
"Chestnut Praline Crème Frappuccino® Blended Beverage", SB0509
"Chestnut Praline Frappuccino® Blended Beverage", SB0039
"Chestnut Praline Latte", SB0040SB0038
"Chicken & Double-Smoked Bacon", SB0041
"", Chickens are raised without the use of antibiotics.Chickens are raised without the use of antibiotics.Chickens are raised without the use of antibiotics.Our chickens are raised without use of antibiotics.Now with 30 g of protein.- Do not microwave- Do not microwavePro Tip: For additional boostAdd herbed chickenCafé nitro infusé à froid avec crème au caramel saléPro Tip: For additional boost
"Chicken & Quinoa Protein Bowl with Black Beans and Greens", SB0042
"Chicken Artichoke Flatbread", SB0043
"Chicken BLT Protein Box", SB0476
"Chicken Caprese", SB0044
"Chicken Sausage & Bacon Biscuit", SB0045
"Chicken Wrap Protein Box", SB0046
"Chicken Wrap Protein Box (1 of 2)", SB0474
"Chicken Wrap Protein Box (2 of 2)", SB0477
"Chickpea Bites & Avocado Protein Box", SB0551
"Chipotle Chicken Wrap", SB0491SB0545
"Chipotle Chicken Wrap Protein Box", SB0047
"Chocolate Cake Pop", SB0048
"Chocolate Chip Cookie", SB0049SB0484
"Chocolate Chip Cookie Dough Cake Pop", SB0050
"Chocolate Chip Kids Clif ZBar®", SB0480
"Chocolate Cookie Crumble Crème Frappuccino® Blended Beverage", SB0169
"Chocolate Covered Espresso Beans", SB0051
"Chocolate Croissant", SB0052
"Chocolate Curls", SBMOD0056
"Chocolate Hazelnut Croissant", SB0464
"Chocolate Pot de Crème", SB0468
"Chocolate Powder", sbuxmods_inventory0021
"Chocolate Sequins", SBMOD0057
"Cinnamon Almondmilk Foam", SBMOD0084
"Cinnamon Almondmilk Macchiato", SB0054
"Cinnamon Coffee Cake Almondmilk Latte", SB0053
"Cinnamon Dolce Crème", SB0055
"Cinnamon Dolce Latte", SB0056
"Cinnamon Dolce Sprinkles", SBMOD0058sbuxmods_inventory0044
"Cinnamon Dolce Syrup", SBMOD0012sbuxmods_inventory0060
"Cinnamon Oatmilk Foam", SBMOD0086
"Cinnamon Powder", SBMOD0045sbuxmods_inventory0020
"Cinnamon Raisin Bagel", SB0290
"Cinnamon Soymilk Foam", sbuxmods_inventory0053
"Cinnamon Spice Oatmilk Crème Frappuccino® Blended Beverage", SB0527
"Cinnamon Spice Oatmilk Frappuccino® Blended Beverage", SB0528
"Cinnamon Spice Oatmilk Latte", SB0524
"Classic Coffee Cake", SB0058
"Classic Oatmeal", SB0059
"Classic Sweetener Syrup", SBMOD0027
"Classic Syrup", SBMOD0013sbuxmods_inventory0061
"Clover Brewed® Breakfast Blend", SB0333
"Clover Brewed® Decaf Pike Place® Roast", SB0360
"Clover Brewed® Gold Coast Blend®", SB0340
"Clover Brewed® Guatemala Antigua", SB0338
"Clover Brewed® Pike Place® Roast", SB0339
"Clover Brewed® Starbucks Willow Blend", SB0358
"Cocoa Cloud Macchiato* (Contains eggs)", SB0415
"Coconut Lime Rice Pudding", SB0469
"Coconut Milk", SBMOD0007
"Coconutmilk", sbuxmods_inventory0013
"Coconutmilk Cascara Latte", SB0420
"Coconutmilk Cascara Latte with Starbucks® Blonde Espresso", SB0421
"Coconutmilk Mocha Macchiato", SB0060
"Coffee Frappuccino®", sbuxtemplate0016
"Coffee Frappuccino® Blended Beverage", SB0061
"Coffee Frappuccino®/Crème Frappuccino®", sbuxtemplate0043
"Coffee Traveler – Dark Roast", SB0064
"Coffee Traveler – Decaf Pike Place® Roast", SB0063
"Coffee Traveler – Pike Place® Roast", SB0065
"Coffee Traveler – Starbucks® Blonde Roast", SB0062
"Cold Brew with Cinnamon Almondmilk Foam", SB0298
"Cold Brew with Cinnamon Oatmilk Foam", SB0300
"Cold Brew with Cold Foam", SB0192
"Available", 011121249 EW&011118783
"Cold Brew with Salted Honey Cold Foam", SB0203
"Cold Brews", sbuxtemplate0018
"Cold Brews/Iced Americano/Iced Coffees/Iced Espresso Shots", sbuxtemplate0042
"Cold Foam", SBMOD0048sbuxmods_inventory0049
"Comfort Brewed Wellness Tea", SB0386
"Confetti Hearts Cake Pop - 6 pack", SB0466
"Confetti Sugar Cookie", SB0067
"Cookie Crumble Topping", sbuxmods_inventory0046
"Cordusio", SB0068
"Country Archer Original Beef Jerky", SB0070
"Country Archer – Hickory Smoked Turkey Jerkey", SB0069
"Cranberry Bliss Bar", SB0071
"Cranberry Bliss Bars 14.6oz", SB0561
"Cranberry Orange Scone", SB0306
"Cream Cheese", SBMOD0079
"Creminelli Salami & Cheese Snack Tray", SB0463
"Creminelli Snack Tray – Prosciutto", SB0023
"Creminelli Snack Tray – Sopressata Salami & Monterey Jack", SB0072
"Crispy Grilled Cheese Sandwich", SB0073
"Crème Frappuccino®", sbuxtemplate0017
"DC Sweet Potato Cake Slice", SB0453
"DC Sweet Potato Loaf Slice", SB0454
"Dark Chocolate Fudge Brownie", SB0209
"Dark Chocolate Grahams (2-Pack)", SB0076
"Dark Cocoa Almondmilk Foam", SBMOD0085
"Dark Cocoa Oatmilk Foam", sbuxmods_inventory0055
"Dark Cocoa Soymilk Foam", sbuxmods_inventory0054
"Decaf", SBMOD0037sbuxmods_inventory0038
"Decaf Blonde Espresso", SBMOD0043
"Decaf Espresso Roast Clover®", SB0344
"Decaf Pike Place® Roast", SB0078
"Decaf Roast", SBMOD0087
"Decaf Sumatra Clover®", SB0330
"Devil's Food Doughnut", SB0447
"Dipped Madeleines", SB0079
"Double", sbuxmods_inventory0035
"Double Chocolate Chunk Brownie", SB0080
"Double Chocolaty Chip Crème Frappuccino® Blended Beverage", SB0081
"Double-Smoked Bacon, SB0082
"Dragon Drink", SB0083
"Dragonfruit Inclusion", SBMOD0069sbuxmods_inventory0030
"Dulce de Leche Tart", SB0450
"Earl Grey Tea", SB0363
"Earth Cake Pop (1/5 - 5/9)", SB0562
"Earth Day Reusables Plastic Cold Cup", SB0559
"Earth Day Reusables Plastic Hot Cup", SB0488
"Egg & Feta Side", SB0550
"Egg White & Roasted Red Pepper Sous Vide Egg Bites", SB0223
"Eggnog Crème", SB0511
"Eggnog Crème Frappuccino® Blended Beverage", SB0512
"Eggnog Frappuccino® Blended Beverage", SB0084
"Eggnog Latte", SB0085
"Eggs & Cheese Protein Box", SB0470
"Emperor’s Clouds & Mist®", SB0369
"Equal", SBMOD0032
"Espresso (Double)", SB0308
"Espresso (Quad)", SB0314
"Espresso (Single)", SB0307
"Espresso (Triple)", SB0313
"Espresso Frappuccino® Blended Beverage", SB0322
"Espresso Macchiato (Double)", SB0310
"Espresso Macchiato (Quad)", SB0316
"Espresso Macchiato (Single)", SB0309
"Espresso Macchiato (Triple)", SB0315
"Espresso Roast Clover®", SB0341
"Espresso Shots", sbuxtemplate0004
"Espresso con Panna (Double)", SB0312
"Espresso con Panna (Quad)", SB0318
"Espresso con Panna (Single)", SB0311
"Espresso con Panna (Triple)", SB0317
"Ethiopia Clover®", SB0372
"Ethos® Bottled Water", SB0086
"Everybody's Favorite – Bantam Bagel (2-pack)", SB0452
"Everything Bagel", SB0088SB0087
"Everything Bagel & Veggie Breakfast Bake", SB0547
"Evolution Fresh Organic Super Fruit Greens Smoothie 11 fl oz", SB0093
"Evolution Fresh Vital Berry 11 fl oz", SB0557
"Evolution Fresh® Orange", SB0090
"Evolution Fresh® Organic Defense Up®", SB0089
"Evolution Fresh® Organic Green Devotion", SB0091
"Evolution Fresh® Organic Strawberry Lemonade", SB0092
"Evolution Fresh® Watermelon", SB0094
"Evolution Fresh™ Sweet Berry", SB0540
"Extra", sbuxmods_inventory0006
"Extra Tea", sbuxmods_inventory0076
"Featured Roast", SBMOD0041
"Featured Starbucks® Dark Roast Coffee", SB0095
"Flat White", SB0096
"Flat Whites", sbuxtemplate0005
"Flat Whites/Lattes/Macchiatos/Mochas/Chai Teas", sbuxtemplate0037
"Frappucino Chips", SBMOD0046sbuxmods_inventory0045
"French Roast Clover®", SB0343
"Galvanina Sparkling Water", SB0097
"Galvanina Sparkling Water - Lime", SB0098
"Ginger Molasses Cookie", SB0441
"Gingerbread Biscotti", SB0099
"Gingerbread Loaf", SB0100
"Golden Ginger Blend Powder", SBMOD0076
"Good Squared - Urban Trail", SB0458
"Goodie Girl Mint Slims", SB0101
"Graham Cracker Crumbles", SBMOD0059
"Grande", sbuxmods_inventory0003
"Green Tea", sbuxmods_inventory0082
"Green Tea (splash)", SBMOD0065
"Green Teas", sbuxtemplate0011
"Grilled Chicken and Hummus Protein Box", SB0489
"Guatemala Acatanango Volcano Valley Clover®", SB0390
"Guava Blend", SBMOD0074
"Guava Cream Cheese Croissant", SB0449
"Guava Juice Blend", sbuxmods_inventory0079
"Half & Half", SBMOD0004sbuxmods_inventory0014
"Half Caf", SBMOD0038
"Ham & Cheese Croissant", SB0465
"Ham & Swiss Panini", SB0443
