Column1,Column2,Column3,Column4,Column5,Column 6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Global ID,Barcode,Name,Status,Unit,Number of units,Units per pack,Categories,Price,Price with markup,Price with commission,Price base,Markup,Commission,Location in store,Location priority,Preparation time,Tax code,Freetext notes,Item taxes,Filters,Description,Allergen Information,Ingredients,Nutritional Data,Dietary Information,Station,Modifiers,Private,Tags
,,,,Bev Zone Name,Average Bear CN,Bay Street CN,Chicago Micro Zone,Coffee House CN,East Coast High Elasticity,East Coast Low Elasticity,East Coast Mid Elasticity,Frontier CN,Frosty CN,Grassroots,Heartland,Hold Back Test,Hot Cold Test Zone,Laptops And Lattes,Malls,Neighborhood Cafe,New York City,New York City Premium,New York City Tourist,Premium Tourist,Residential Americana,Resort And Remote CN,San Francisco,San Francisco Premium,Seattle,Seattle Drive Thru,Seattle Premium,Suburban Drive Thru,Suburbia CN,Tourist,Uptown Cafe,Urban Living CN,West Coast High Elasticity,West Coast Low Elasticity,West Coast Mid Elasticity,Western Affluent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,POS Zone Number,435,438,367,436,443,417,415,434,433,462,461,374,469,467,157,466,16,395,396,152,464,40,155,405,358,407,406,463,437,65,465,439,424,419,422,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Menu Zone Number,62,65,18,63,52,50,51,61,60,72,71,31,41,77,26,76,1,42,43,8,74,14,25,44,29,46,45,73,64,6,75,66,47,49,48,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ItemNumber,ItemDescription,Size,Category,TierSize,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000001,Featured Medium Roast - Pike Place® Roast Short,Short,Menu,Brewed Base Drip Coffee Short,2.25,2.25,2.05,2.25,2.55,2.55,2.55,2.25,2.25,2.35,2.35,2.05,2.35,2.35,2.35,2.35,2.55,2.55,2.75,2.75,2.35,2.55,2.55,2.55,2.55,2.55,2.55,2.35,2.25,2.65,2.35,2.15,2.55,2.55,2.55,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000002,Featured Medium Roast - Pike Place® Roast Tall,Tall,Menu,Brewed Base Drip Coffee Tall,2.35,2.35,2.15,2.35,2.65,2.65,2.65,2.35,2.35,2.45,2.45,2.15,2.45,2.45,2.45,2.45,2.65,2.65,2.85,2.85,2.45,2.65,2.65,2.65,2.65,2.65,2.65,2.45,2.35,2.75,2.45,2.25,2.65,2.65,2.65,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000003,Featured Medium Roast - Pike Place® Roast Grande,Grande,Menu,Brewed Base Drip Coffee Grande,2.75,2.65,2.45,2.65,2.75,2.75,2.95,2.75,2.75,2.75,2.75,2.25,2.75,2.75,2.75,2.75,2.95,2.95,2.95,2.95,2.75,2.95,2.95,2.95,2.95,2.95,2.95,2.75,2.65,2.95,2.75,2.65,2.75,2.95,2.95,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000005,Kids Steamed Milk,Kids,Non-Menu,Milk Hot Kids,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.75,1.95,1.95,1.95,1.95,2.25,2.45,2.65,2.25,1.95,1.95,2.25,2.25,2.25,2.25,2.25,1.95,1.95,2.25,1.95,1.95,1.95,1.95,1.95,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000006,Cold Apple Juice Kids,Kids,Non-Menu,Juice Iced Kids,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.75,1.95,1.95,1.95,1.95,2.25,2.45,2.65,2.25,1.95,1.95,2.25,2.25,2.25,2.25,2.25,1.95,1.95,2.25,1.95,1.95,1.95,1.95,1.95,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000007,Kids Hot Chocolate,Kids,Menu,Hot Alt Base Kids,1.95,1.95,1.95,1.95,2.25,2.45,2.45,1.95,1.95,2.25,2.25,1.95,2.25,2.25,2.25,2.25,2.75,2.75,2.95,2.45,2.25,1.95,2.45,2.45,2.45,2.75,2.75,2.25,1.95,2.45,2.25,1.95,2.45,2.45,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000017,Tall Milk,Tall,Non-Menu,Milk Iced Tall,2.95,2.75,2.45,2.75,2.45,2.45,2.75,2.95,2.75,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.75,2.75,3.25,2.75,2.45,2.95,2.75,2.95,2.75,2.75,2.75,2.45,2.75,2.75,2.45,2.75,2.45,2.45,2.75,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000018,Grande Milk,Grande,Non-Menu,Milk Iced Grande,3.25,2.95,2.65,2.95,2.65,2.65,2.95,3.25,2.95,2.65,2.65,2.65,2.65,2.65,2.65,2.65,3.25,3.25,3.45,3.25,2.65,3.25,2.95,3.25,2.95,2.95,2.95,2.65,2.95,3.25,2.65,2.95,2.75,2.75,2.95,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000020,Solo Espresso,Single,Menu,Espresso Straight Hot Single,2.45,2.45,2.25,2.45,2.45,2.45,2.45,2.45,2.45,2.25,2.25,1.95,2.25,2.45,2.25,2.45,2.75,2.45,2.95,2.95,2.25,2.75,2.45,2.75,2.45,2.75,2.75,2.25,2.45,2.65,2.45,2.45,2.45,2.45,2.45,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000021,Doppio Espresso,Double,Menu,Espresso Straight Hot Double,2.65,2.65,2.45,2.65,2.75,2.75,2.75,2.65,2.65,2.55,2.55,2.25,2.55,2.65,2.55,2.65,2.95,2.75,3.25,3.25,2.55,2.95,2.75,2.95,2.75,2.95,2.95,2.55,2.65,2.85,2.75,2.65,2.75,2.75,2.65,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000025,Solo Espresso Macchiato,Single,Non-Menu,Espresso With Dairy Hot Single,2.55,2.55,2.35,2.55,2.55,2.55,2.55,2.55,2.55,2.35,2.35,2.05,2.35,2.55,2.35,2.55,2.85,2.55,3.05,3.05,2.35,2.85,2.55,2.85,2.55,2.85,2.85,2.35,2.55,2.75,2.55,2.55,2.55,2.55,2.55,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000026,Doppio Espresso Macchiato,Double,Non-Menu,Espresso With Dairy Hot Double,2.75,2.75,2.55,2.75,2.85,2.85,2.85,2.75,2.75,2.65,2.65,2.35,2.65,2.75,2.65,2.75,3.05,2.85,3.35,3.35,2.65,3.05,2.85,3.05,2.85,3.05,3.05,2.65,2.75,2.95,2.85,2.75,2.85,2.85,2.75,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000030,Solo Espresso Con Panna,Single,Non-Menu,Espresso With Dairy Hot Single,2.55,2.55,2.35,2.55,2.55,2.55,2.55,2.55,2.55,2.35,2.35,2.05,2.35,2.55,2.35,2.55,2.85,2.55,3.05,3.05,2.35,2.85,2.55,2.85,2.55,2.85,2.85,2.35,2.55,2.75,2.55,2.55,2.55,2.55,2.55,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000031,Doppio Espresso Con Panna,Double,Non-Menu,Espresso With Dairy Hot Double,2.75,2.75,2.55,2.75,2.85,2.85,2.85,2.75,2.75,2.65,2.65,2.35,2.65,2.75,2.65,2.75,3.05,2.85,3.35,3.35,2.65,3.05,2.85,3.05,2.85,3.05,3.05,2.65,2.75,2.95,2.85,2.75,2.85,2.85,2.75,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000037,Short Cappuccino,Short,Menu,Espresso Base Hot Short,4.15,4.15,3.35,4.15,3.65,4.15,3.85,4.15,4.15,3.65,3.65,3.15,3.65,3.65,3.65,3.85,4.35,4.35,4.65,4.35,3.65,4.35,4.15,3.85,4.15,3.85,4.15,3.65,4.15,4.35,3.85,3.85,4.15,4.15,4.15,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000038,Tall Cappuccino,Tall,Menu,Espresso Base Hot Tall,4.25,4.25,3.45,4.25,3.75,4.25,3.95,4.25,4.25,3.75,3.75,3.25,3.75,3.75,3.75,3.95,4.45,4.45,4.75,4.45,3.75,4.45,4.25,3.95,4.25,3.95,4.25,3.75,4.25,4.45,3.95,3.95,4.25,4.25,4.25,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000039,Grande Cappuccino,Grande,Menu,Espresso Base Hot Grande,4.75,4.75,4.15,4.75,4.45,4.75,4.45,4.75,4.75,4.45,4.45,3.95,4.55,4.45,4.45,4.45,4.95,4.95,5.25,4.95,4.45,4.85,4.75,4.95,4.95,4.95,4.95,4.45,4.75,4.95,4.45,4.45,4.75,4.75,4.75,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000040,Short Caffè Latte,Short,Menu,Espresso Base Hot Short,4.15,4.15,3.35,4.15,3.65,4.15,3.85,4.15,4.15,3.65,3.65,3.15,3.65,3.65,3.65,3.85,4.35,4.35,4.65,4.35,3.65,4.35,4.15,3.85,4.15,3.85,4.15,3.65,4.15,4.35,3.85,3.85,4.15,4.15,4.15,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000041,Tall Caffè Latte,Tall,Menu,Espresso Base Hot Tall,4.25,4.25,3.45,4.25,3.75,4.25,3.95,4.25,4.25,3.75,3.75,3.25,3.75,3.75,3.75,3.95,4.45,4.45,4.75,4.45,3.75,4.45,4.25,3.95,4.25,3.95,4.25,3.75,4.25,4.45,3.95,3.95,4.25,4.25,4.25,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000042,Grande Caffè Latte,Grande,Menu,Espresso Base Hot Grande,4.75,4.75,4.15,4.75,4.45,4.75,4.45,4.75,4.75,4.45,4.45,3.95,4.55,4.45,4.45,4.45,4.95,4.95,5.25,4.95,4.45,4.85,4.75,4.95,4.95,4.95,4.95,4.45,4.75,4.95,4.45,4.45,4.75,4.75,4.75,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000000043,Custom Iced Tea Refill Grande,Grande,Non-Menu,Iced Tea Refill Grande,3.25,3.25,0.50,3.25,0.50,0.50,0.50,3.25,3.25,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,3.25,0.50,0.50,0.50,0.50,0.50,0.50,3.25,0.50,0.50,3.25,0.50,0.50,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
