Name,Barcode
Almond Croissant, 11112726
Avocado Spread, 11059944
"Bacon,  Gouda & Egg Breakfast Sandwich"& Sausage & Egg Wrap"
Bacon & Gruyère Sous Vide Egg Bites, 11105593
Banana, 191840
Banana Nut Loaf with Walnuts & Pecans, 11039076
Banana Loaf, 11077811
"Beyond Meat®,  Cheddar & Egg Breakfast Sandwich"
Birthday Cake Pop, 11037822
Blueberry Muffin, 11091159
Blueberry Muffin with Yogurt & Honey, 11053916
Blueberry Oatmeal, 11027789
Blueberry Scone, 11085884
Butter Croissant, 11083122
Cheese Danish, 11083579
"Cheese,  Onion & Garlic Bagel"
Homestyle Chicken & Double-Smoked Bacon Panini, 11083338
Chicken Caprese Panini, 11079835
Chicken Caprese Sandwich, 11083340
Chocolate Cake Pop, 11039085
Chocolate Chip Cookie, 11110086
Chocolate Chunk Cookie, 11112621
Chocolate Chunk Muffin, 11094738
Chocolate Croissant, 11083123
Cinnamon Coffee Cake, 11091207
Cinnamon Raisin Bagel, 11060626
Classic Oatmeal, 11031226
Confetti Sugar Cookie, 11085733
Cookie Dough Cake Pop, 11056385
Crispy Grilled Cheese, 11103767
Double Chocolate Brownie, 11088406
"Double-Smoked Bacon,  Cheddar & Egg Breakfast Sandwich"
Egg White & Roasted Red Pepper Sous Vide Egg Bites, 11067650
Everything Bagel, 11100952&11106419
Everything Croissant & Roasted Ham Breakfast Sandwich, 11106074
Ginger Molasses Cookie, 11112622
Gingerbread Loaf, 11120269&11120269
Glazed Doughnut, 11037563
Ham & Swiss Panini, 11097818
Ham & Swiss Croissant, 11069890
Iced Lemon Loaf, 11079227&11114037
Impossible™ Breakfast Sandwich, 11116469
Kale & Portabella Mushroom Sous Vide Egg Bites, 11120688
Oat Bar, 11130862
Oat Fudge Bar, 11047810
Peppermint Brownie Cake Pop, 11066734&11066734
Petite Vanilla Bean Scone, 11037568
Plain Bagel, 11054347
Pumpkin Loaf, 11039079&11052854
Reduced-Fat Bacon-Style Turkey & Cage-Free Egg White Breakfast Sandwich, 11096117
"Roasted Ham,  Swiss & Egg Breakfast Sandwich"
"Sausage,  Cheddar & Egg Breakfast Sandwich"
Sourdough Grilled Cheese, 11086415
Southwest Veggie Wrap, 11112219
"Spinach,  Feta & Egg White Wrap"
Sprouted Grain Bagel, 11072835
Sriracha, 11050446
Tomato & Mozzarella Panini, 11079834
Turkey & Pesto Panini, 11079832
"Turkey Bacon,  Cheddar & Egg White Breakfast Sandwich"
Unicorn Cake Pop, 11125392
Tomato & Mozzarella Sandwich, 11054038
Pumpkin Cream Cheese Muffin, 11051858
Pumpkin Scone, 11106386
Fox Cake Pop, 11126692
"Potato,  Cheddar & Chive Bakes"
Fox Sugar Cookie, 11128006
Target Bullseye Cake Pop, LS Products CO cannot price
Target Bullseye Cookie, LS Products CO cannot price
Reindeer Cake Pop, 11128442
Snowman Cookie, 11108104
Cranberry Bliss® Bar, 11081558&11081559
Sugar Plum Cheese Danish, 11091676
Frosted Snowman Cookie, 11108105
