Name,Barcode
Featured Medium Roast - Pike Place® Roast , 000000001&000000002&000000003&000121965
 Steamed Milk, 000000005&000000051&011051927&011051928&011051929&011051930&011051931
Cold Apple Juice , 000000006&000000066
 Hot Chocolate, 000000007&000128640&000128641&000128642&000128643
 Milk, 000000017&000000018&000121973
Solo Espresso, 000000020
Doppio Espresso, 000000021
Solo Espresso Macchiato, 000000025
Doppio Espresso Macchiato, 000000026
Solo Espresso Con Panna, 000000030
Doppio Espresso Con Panna, 000000031
 Cappuccino, 000000037&000000038&000000039&000121971&011004407&011004408&011004409&011016386&011022286&011022287&011022288&011022289&011046075&011046076
 Caffè Latte, 000000040&000000041&000000042&000121966
Custom Iced Tea Refill , 000000043&011002162&011002163&011002164
 Caffè Mocha, 000000045&000000046&000000047&000121967
Regular Milk, 000000052
Add Espresso Shot, 000000055
Add Custom Syrup, 000000057
 Apple Juice, 000000067&000000068&000144651
Hot Coffee Refill , 000000076&000121617&000121618&000139877
 Caffè Misto, 000000090&000000091&000000092&000121968
 Caffè Americano, 000000093&000000094&000000095&000121969
Add Cup of Ice, 000000992
 Iced Coffee, 000106509&000106510&000144646&011006148
Large Format Custom Brewed Coffee 1 gallon, 000107488
Large Format Custom Brewed Coffee 2.5 gallons, 000107489
Large Format Custom Brewed Coffee 5 gallons, 000107504
 Eggnog Latte, 000108516&000108517&000108518&000128648
Decaf, 000109836
1/2 Decaf, 000109837
Add Ristretto, 000109839
Add Nonfat Milk, 000109840
Add 2% Milk, 000109841
Breve (Half & Half), 000109842
For Here Cup, 000109844
Ask Me, 000109845
Double Cup, 000109883
Warm, 000109888
Extra Hot, 000109889
Regular Steamed, 000109890
Regular Whipped Cream, 000109891
Light Whipped Cream, 000109892
No Whipped Cream, 000109893
Sugar, 000109894
Saccharin (pink), 000109895
Equal® (blue), 000109896
Regular Ice, 000109897
Light Ice, 000109898
No Ice, 000109899
Foam, 000109900
Light Foam, 000109901
No Foam, 000109902
Wet, 000109903
Dry, 000109904
Light Vanilla Syrup, 000109906
Light Hazelnut Syrup, 000109910
Light Mocha Sauce, 000109912
Extra Vanilla Syrup, 000109913
Extra Hazelnut Syrup, 000109915
Extra Mocha Sauce, 000109916
Add Vanilla Syrup, 000109917
Add Hazelnut Syrup, 000109918
Add Mocha Sauce, 000109920
Cup Of Water , 000110014&000546466&000546467&011015038&011045628
Sugar in the Raw®, 000110016
Add Espresso (Fine), 000110018
Add Cone Filter (Semi-Fine), 000110019
Add Turkish Grind (Extra Fine), 000110021
Add Flat Bottom (Drip), 000110024
Add French Press (Coarse), 000110025
1/3 Decaf, 000110026
2/3 Decaf, 000110027
Add Whole Milk, 000110086
Extra Whipped Cream, 000110089
Extra Foam, 000110090
Room, 000110237
No Room, 000110240
Extra Room, 000110241
Add  Cup, 000110243&000110244
 Cup, 000110245&000147013
Extra Ice, 000110246
 Iced Caffè Americano, 000110563&000110564&000144650
 Iced Caffè Mocha, 000110566&000110567&000144649
 Iced Caffè Latte, 000110569&000110570&000144648
1% Milk, 000110612
French Press Brewed Custom Coffee 8 Cup, 000111774
French Press Brewed Custom Coffee 12 Cup, 000111775
Creamer (Half & Half), 000111806
Regular Cinnamon Powder, 000112073
Vanilla Powder, 000112074
Chocolate Powder, 000112075
Nutmeg Powder, 000112076
Add Soymilk, 000113135
Add Irish Cream Syrup, 000114098&000189640&011115112
 Steamed Apple Juice, 000115157&000115158&000115159&000122295&000485074
Add Honey, 000115320
Triple Espresso, 000121982
Quad Espresso, 000121983
Triple Espresso Macchiato, 000121984
Quad Espresso Macchiato, 000121985
Triple Espresso Con Panna, 000121986
Quad Espresso Con Panna, 000121987
Add Caramel Sauce, 000126195
 Caramel Macchiato, 000126196&000126197&000126198&000126199
Chai Tea Latte , 000135607&000135608&000135609&000135610
Iced Tazo® Classic Chai Tea Latte , 000135612&000135613&000144647
Add Sugar Free Vanilla Syrup, 000135800
 Featured Dark Roast, 000138663&000138664&000138665&000138666
Add Tea Bag, 000142689
 Decaf Pike Place® Roast, 000143104&000143105&000143106&000143107
Light Sugar Free Vanilla Syrup, 000145690
Extra Sugar Free Vanilla Syrup, 000145692
Coffee Traveler - Custom Brewed Coffee, 000148081
 White Chocolate Mocha, 000148688&000148689&000148690&000148691
 Iced White Chocolate Mocha, 000153120&000153121&000153122
Add Caramel Syrup, 000154162
 White Hot Chocolate, 000155307&000155308&000155309&000155310&000155311
 Iced Caramel Macchiato, 000155347&000155364
Iced Caramel Macchiato , 000155349&011009705
 Caramel Apple Spice, 000155357&000155358&000155359&000155360&000155434
Light Caramel Syrup, 000159775
Extra Caramel Syrup, 000159778
Add Frappuccino® Chips, 000160150
 Gingerbread Latte, 000163027&000163028&000163029&000163030
Add Gingerbread Syrup, 000165863
Light Gingerbread Syrup Modifier, 000165864
Extra Gingerbread Syrup Modifier, 000165865
 Iced Eggnog Latte, 000176828&000181428&000181429
 Iced Gingerbread Latte, 000176830&000181430&000181431
 Mocha Coconut Frappuccino® Blended Coffee, 000177531&000177532
Add Classic Syrup, 000177838
Add Heavy Lemonade, 000177846
No Water, 000178658
Water, 000178667
Extra Water, 000178668
Light Water, 000178669
 Vanilla Crème, 000179555&000179556&000179557&000179558&000485072
