Global ID,Barcode,Name,Status,Unit,Number of units,Units per pack,Categories,Price,No discount price,Price with markup,Price with commission,Price base,Markup,Commission,Location in store,Location priority,Preparation time,Tax code,Freetext notes,Item taxes,Filters,Description,Allergen Information,Ingredients,Nutritional Data,Dietary Information,Station,Modifiers,Private,Tags,Song,Virtual,Skip importer
8.71716E+12,8.71716E+12,7th GEN Free & Clear Nõudepesumasina Tabletid 24x,Available,,,,Majapidamiskaubad,6.58,,6.58,6.58,5.72,0,15,Majapidamiskaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.71716E+12,8.71716E+12,7th GEN Free&Clear Universaalne Puhastussprei 503g,Available,,,,Majapidamiskaubad,3.25,,3.25,3.25,2.83,,15,Majapidamiskaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.71716E+12,8.71716E+12,7th GEN Lavender & Mint Nõudepesuvahend 516g,Available,,,,Majapidamiskaubad,2.33,,2.33,2.33,2.03,,15,Majapidamiskaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.71716E+12,8.71716E+12,7th GEN Pesugeel Fresh Orange & Blossom 1l,Available,,,,Majapidamiskaubad,6.5,,6.5,6.5,5.65,,15,Majapidamiskaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Alexander 0.568l,Archived,,,,X Õlu,1.42,,1.42,1.42,1.23,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Alexander 0.568l (6-pack),Archived,,,,X Õlu,8.25,,8.25,8.25,8.25,,,,,,General,,,,,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Alexander Dunkel 0.568l,Archived,,,,X Õlu,1.58,,1.58,1.58,1.37,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Alexander Unfiltered 0.568l,Archived,,,,X Õlu,1.58,,1.58,1.58,1.37,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Alexander Weizen 0.568l,Archived,,,,X Õlu,1.58,,1.58,1.58,1.37,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ EXTRA Ginger 0.33l,Archived,,,,X Õlu,1.17,,1.17,1.17,1.02,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ EXTRA Lime 0.33l,Archived,,,,X Õlu,1.17,,1.17,1.17,1.02,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Fassbrause Lemon 0.5l (Alkoholivaba),Available,,,,#NAME?,1,,1,1,0.87,,15,"Alkoholivabad õlled, -siidrid",-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Fassbrause Peach 0.5l (Alkoholivaba),Available,,,,#NAME?,1,,1,1,0.87,,15,"Alkoholivabad õlled, -siidrid",-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Fassbrause Raspberry 0.5l (Alkoholivaba),Available,,,,#NAME?,1,,1,1,0.87,,15,"Alkoholivabad õlled, -siidrid",-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ IPA 0.5l,Archived,,,,X Õlu,1.66,,1.66,1.66,1.44,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ KRIEK 0.5l,Archived,,,,X Õlu,1.66,,1.66,1.66,1.44,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Kelluke 0.5l,Available,,,,Karastusjoogid,0.79,,0.79,0.79,0.69,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Kelluke 1.5l,Available,,,,Karastusjoogid,1.25,,1.25,1.25,1.09,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Kelluke Ploomi 0.5l,Available,,,,Karastusjoogid,0.79,,0.79,0.79,0.69,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Klassikaline Kali 0.5l,Available,,,,Karastusjoogid,0.77,,0.77,0.77,0.67,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,A. LE COQ Limonaad 0.5l,Available,,,,Karastusjoogid,0.79,,0.79,0.79,0.69,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
